date released#polling institute#socialist#social democratic#peoples party#green - communist#left bloc#lead
february 20 , 2005#election results#45.0% 121 seats#28.8% 75 seats#7.2% 12 seats#7.5% 14 seats#6.4% 8 seats#16.2%
february 18 , 2005#aximage#46.8%#29.6%#7.3%#7.0%#5.5%#17.2%
february 18 , 2005#marktest#46.0%#26.8%#7.5%#8.9%#7.7%#19.2%
february 18 , 2005#eurosondagem#45.0%#30.6%#7.7%#7.7%#5.7%#14.4%
february 18 , 2005#ipom#46.0%#30.0%#8.0%#6.0%#7.0%#16.0%
february 18 , 2005#intercampus#45.9%#30.3%#7.1%#7.6%#5.2%#15.6%
february 17 , 2005#tns / euroteste#39.0%#28.0%#7.0%#6.0%#6.0%#11.0%
february 17 , 2005#universidade católica#46.0%#31.0%#6.0%#7.0%#7.0%#15.0%
february 12 , 2005#eurosondagem#44.4%#31.3%#7.4%#6.9%#6.4%#13.1%
february 11 , 2005#aximage#44.7%#27.4%#6.4%#7.1%#4.8%#17.3%
february 4 , 2005#ipom#49.0%#31.0%#8.0%#6.0%#5.0%#18.0%
february 4 , 2005#aximage#43.5%#29.3%#7.0%#5.6%#3.5%#14.2%
february 3 , 2005#intercampus#46.5%#31.6%#4.8%#8.1%#4.5%#14.9%
january 29 , 2005#eurosondagem#46.1%#32.1%#7.0%#6.6%#4.6%#14.0%
january 28 , 2005#marktest#45.1%#27.7%#6.3%#7.7%#8.1%#17.5%
january 28 , 2005#aximage#43.3%#27.4%#6.3%#5.8%#5.0%#15.9%
january 28 , 2005#universidade católica#46.0%#28.0%#6.0%#8.0%#8.0%#18.0%
january 27 , 2005#tns / euroteste#40.0%#32.0%#6.0%#4.0%#5.0%#8.0%
january 21 , 2005#axiamge#42.8%#28.7%#7.1%#6.2%#4.3%#14.1%
