res#record#opponent#method#event#round#time#location
loss#15 - 5#dennis bermudez#decision (split)#ufc 157#3#5:00#anaheim , california , united states
win#15 - 4#leonard garcia#decision (unanimous)#ufc on fx : johnson vs mccall#3#5:00#sunrise , florida , united states
loss#14 - 4#ricardo lamas#tko (head kick & punches)#ufc live : kongo vs barry#1#4:41#pittsburgh , pennsylvania , united states
win#14 - 3#david gardner#decision (unanimous)#fcf 46#3#5:00#shawnee , oklahoma , united states
win#13 - 3#thomas schulte#submission (punches)#fcf 44#1#4:31#shawnee , oklahoma , united states
win#12 - 3#rocky mcanally#submission (guillotine choke)#fcf 43#1#3:01#shawnee , oklahoma , united states
win#11 - 3#steve schneider#submission (punches)#bricktown brawl 4#1#1:40#oklahoma city , oklahoma , united states
loss#10 - 3#shannon gugerty#technical submission (guillotine choke)#ufc 100#1#2:36#las vegas , nevada , united states
loss#10 - 2#matt veach#tko (punches)#ufc fight night : lauzon vs stephens#1#4:34#tampa , florida , united states
win#10 - 1#jason black#decision (split)#ufc 77#3#5:00#columbus , ohio , united states
loss#9 - 1#terry etim#technical submission (guillotine choke)#ufc 70#1#4:38#manchester , england
win#9 - 0#clint kerley#tko (punches)#freestyle cage fighting#1#1:08#shawnee , oklahoma , united states
win#8 - 0#jason anderson#ko (head kick)#freestyle cage fighting#1#0:15#shawnee , oklahoma , united states
win#7 - 0#dan marks#decision (unanimous)#extreme wars 3: bay area brawl#3#5:00#oakland , california , united states
win#6 - 0#lee king#submission#ultimate texas showdown 5#1#1:46#dallas , texas , united states
win#5 - 0#joe davis#tko (punches)#acf : showdown at sundown#1#0:49#stillwater , oklahoma , united states
win#4 - 0#shervin alavi#decision (unanimous)#ultimate texas showdown 4#3#5:00#dallas , texas , united states
win#3 - 0#rocky long#tko (punches)#ultimate texas showdown 3#1#1:00#dallas , texas , united states
win#2 - 0#marco adamballi#ko (punch)#xfc - xtreme fight championship 4#1#n / a#fort smith , arkansas , united states
win#1 - 0#matt grey#ko (punch)#ek : extreme fighting#1#n / a#norman , oklahoma , united states
