date#tournament#surface#opponent in the final#score
2 october 2007#sawtell , f6#clay#miles armstrong#6 - 1 , 6 - 3
4 february 2008#mildura , f1#grass#nathan healey#6 - 1 , ret
4 march 2008#hamilton , f2#hard#young - jun kim#6 - 4 , 7 - 5
16 june 2008#minsk , f2#hard#siarhei betau#7 - 6 (5) , 6 - 1
9 february 2009#mildura , f1#grass#matthew ebden#6 - 0 , 6 - 4
11 april 2010#little rock , f9#hard#john millman#6 - 3 , 3 - 6 , 6 - 3
2 may 2010#ipswich , f3#clay#jason kubler#6 - 3 , 6 - 4
9 may 2010#bundaberg , f4#clay#dane propoggia#7 - 5 , 6 - 3
17 october 2011#bendigo , f9#hard#benjamin mitchell#7 - 5 , 6 - 3
17 june 2012#tekirdağ , f23#hard#lorenzo giustino#6 - 3 , 6 - 1
7 july 2012#bakio , f19#hard#jules marie#6 - 2 , 6 - 2
9 september 2012#antalya , f34#hard#mohamed safwat#2 - 6 , 7 - 6 , 6 - 1
