rank#name#location#country#designer , year
1#pine valley#pine valley#united states#george crump / harry colt , 1918
2#cypress point#pebble beach#united states#alister mackenzie , 1918
3#st andrews (old course)#st andrews#scotland#nature
4#augusta national#augusta#united states#alister mackenzie / bobby jones , 1933
5#pebble beach#pebble beach#united states#jack neville / douglas grant , 1919
6#shinnecock hills#southampton#united states#william flynn , 1931
7#royal county down#newcastle#northern ireland#tom morris , 1889
8#muirfield#gullane#scotland#tom morris / harry colt , 1891 / 1925
9#oakmont#oakmont#united states#henry fownes , 1903
10#merion (east)#ardmore#united states#hugh wilson , 1912
