player#league#malaysia cup#fa cup#total
carlos augusto quinonez#7#0#0#7
marcelo padilha da rocha#4#0#1#5
s sunder#3#0#0#3
shariful hisham ibrahim#3#0#0#3
jorge armando rodriguez arguello#2#0#0#2
facundo martin arguello#2#0#0#2
zamri hassan#2#0#0#2
nizamuddin hamid#2#0#0#2
luis rodrigo vieira#1#0#0#1
reeshafiq alwi#1#0#0#1
k kumaran#1#0#0#1
azlan hussain#0#0#0#0
faizal desa#0#0#0#0
syahman zainuddin#0#0#0#0
zaki tumpang (gk)#0#0#0#0
m patrick maria#0#0#0#0
saiful amar sudar (gk)#0#0#0#0
v karnnan#0#0#0#0
v saysupelan#0#0#0#0
zulkifli derus#0#0#0#0
