season#group a winner#group b winner#group c winner#group d winner
1978 - 79#sanremese#cremapergo#fano#rende
1979 - 80#prato#modena#giulianova#cosenza
1980 - 81#rhodense#padova#casertana#campania
1981 - 82#carrarese#ancona#siena#barletta
1982 - 83#prato#legnano#francavilla#messina
1983 - 84#livorno#pavia#jesi#reggina
1984 - 85#siena#virescitboccaleone#brindisi#licata
1985 - 86#lucchese#centese#teramo#nocerina
1986 - 87#torres#ospitaletto#vis pesaro#frosinone
1987 - 88#carrarese#mantova#perugia#palermo
1988 - 89#casale#chievo#fidelis andria#puteolana
1989 - 90#siena#varese#fano#battipagliese
