age group#brazil 100% (percent of the population)#white 47.73% (percent in the race / percent in the age group)#black 7.61% (percent in the race / percent in the age group)#yellow 1.09% (percent in the race / percent in the age group)#brown (multiracial) 43.13% (percent in the race / percent in the age group)#indians 0.43% (percent in the race / percent in the age group)#unspecified 0.0034%
population#190 755 799#91 051 646#14 517 961#2 084 288#82 277 333#817 963#6 608
0 - 4#13 796 158 (7 , 23%)#6 701 186 (7 , 36% / 48 , 57%)#655 958 (4 , 52% / 4 , 75%)#119 956 (5 , 76% / 0 , 87%)#6 217 638 (7 , 56% / 45 , 07%)#101 195 (12 , 37% / 0 , 73%)#225
5 - 9#14 969 375 (7 , 85%)#6 562 558 (7 , 21% / 43 , 84%)#887 209 (6 , 11% / 5 , 93%)#139 543 (6 , 69% / 0 , 93%)#7 279 983 (8 , 85% / 48 , 63%)#99 841 (12 , 21% / 0 , 67%)#241
10 - 14#17 166 761 (9 , 00%)#7 196 738 (7 , 90% / 41 , 92%)#1 155 472 (7 , 96% / 6 , 73%)#161 453 (7 , 75% / 0 , 94%)#8 557 952 (10 , 40% / 49 , 85%)#94 826 (11 , 59% / 0 , 55%)#320
15 - 19#16 990 872 (8 , 91%)#7 311 734 (8 , 03% / 43 , 03%)#1 264 183 (8 , 71% / 7 , 44%)#177 008 (8 , 49% / 1 , 04%)#8 155 126 (9.91% / 48.00%)#82 500 (10 , 86% / 0 , 49%)#321
15 - 17#10 357 874#4 390 760#764 245#105 554#5 045 778#51 367#170
18 - 19#6 632 998#2 920 974#499 938#71 454#3 109 348#31 133#151
20 - 24#17 245 192 (9 , 04%)#7 774 488 (8 , 54% / 45 , 08%)#1 381 677 (9 , 52% / 8 , 01%)#200 060 (9 , 60% / 1 , 16%)#7 814 487 (9 , 50% / 45 , 31%)#73 387 (8 , 97% / 0 , 43%)#1 093
25 - 29#17 104 414 (8 , 97%)#7 936 115 (8 , 72% / 46 , 40%)#1 443 820 (9 , 95% / 8 , 44%)#202 733 (9 , 73% / 1 , 19%)#7 455 402 (9.06% / 43 , 59%)#65 104 (7 , 96% / 0 , 38%)#1 240
30 - 34#15 744 512 (8 , 25%)#7 344 600 (8 , 07% / 46 , 65%)#1 360 298 (9 , 37% / 8 , 64%)#182 150 (8 , 74% / 1 , 16%)#6 800 175 (8 , 26% / 43 , 19%)#56 326 (6 , 89% / 0 , 36%)#963
35 - 39#13 888 579 (7 , 28%)#6 596 137 (7 , 24% / 47 , 49%)#1 175 333 (8 , 10% / 8 , 46%)#152 546 (7 , 32% / 1 , 10)#5 915 773 (7 , 18% / 42 , 59%)#48 167 (5 , 89% / 0 , 35%)#623
40 - 44#13 009 364 (6 , 82%)#6 365 363 (6 , 99% / 48.93%)#1 095 301 (7 , 54% / 8 , 42%)#139 230 (6 , 68% / 1 , 07%)#5 368 059 (6 , 52% / 41 , 26%)#40 950 (5.01% / 0 , 31%)#461
45 - 49#11 833 352 (6 , 20%)#6 052 769 (6 , 65% / 51 , 15%)#972 738 (6 , 70% / 8 , 22%)#124 664 (5.98% / 1 , 05%)#4 647 205 (5 , 65% / 39 , 27%)#35 645 (4 , 36% / 0 , 30%)#331
50 - 54#10 140 402 (5 , 32%)#5 286 559 (5 , 81% / 52 , 13%)#848 098 (5 , 84% / 8 , 36%)#106 539 (5 , 11% / 1 , 05%)#3 869 792 (4 , 70% / 38 , 16%)#29 156 (3 , 56% / 0 , 29%)#258
55 - 59#8 276 221 (4 , 34%)#4 404 057 (4 , 84% / 53 , 21%)#675 404 (4 , 65% / 8 , 16%)#95 149 (4 , 57% / 1 , 15%)#3 076 630 (3 , 74% / 37 , 17%)#24 800 (3 , 03% / 0 , 30%)#181
60 - 69#11 349 930 (5 , 95%)#6 158 001 (6 , 76% / 54 , 26%)#906 487 (6 , 24% / 7 , 99%)#152 099 (7 , 30% / 1 , 34%)#4 097 068 (4 , 98% / 36 , 10%)#36 062 (4 , 41% / 0 , 32%)#213
