place#player#country#score#to par#money
1#raymond floyd#united states#75 + 68 + 70 + 66 = 279#1#115000
t2#chip beck#united states#75 + 73 + 68 + 65 = 281#+ 1#47646
t2#lanny wadkins#united states#74 + 70 + 72 + 65 = 281#+ 1#47646
t4#hal sutton#united states#75 + 70 + 66 + 71 = 282#+ 2#26269
t4#lee trevino#united states#74 + 68 + 69 + 71 = 282#+ 2#26269
t6#ben crenshaw#united states#76 + 69 + 69 + 69 = 283#+ 3#19009
t6#payne stewart#united states#76 + 68 + 69 + 70 = 283#+ 3#19009
t8#bernhard langer#west germany#74 + 70 + 70 + 70 = 284#+ 4#14500
t8#mark mccumber#united states#74 + 71 + 68 + 71 = 284#+ 4#14500
t8#jack nicklaus#united states#77 + 72 + 67 + 68 = 284#+ 4#14500
t8#bob tway#united states#70 + 73 + 69 + 72 = 284#+ 4#14500
