production no#episode no#original airdate#episode title#host
15#201#january 28 , 2008#underground apocalypse#don wildman
16#202#february 4 , 2008#vietnam#don wildman
17#203#february 11 , 2008#a - bomb underground#don wildman
18#204#february 25 , 2008#viking underground#don wildman
19#205#march 3 , 2008#hitler 's last secret#don wildman
20#206#march 10 , 2008#maya underground#don wildman
21#207#march 17 , 2008#mob underground#don wildman
22#208#march 24 , 2008#prophecies from below#don wildman
23#209#march 31 , 2008#new york : secret societies#don wildman
24#210#april 14 , 2008#washington , dc : seat of power#don wildman
25#211#april 21 , 2008#stalin 's secret lair#don wildman
26#212#april 28 , 2008#katrina underground#don wildman
27#213#may 5 , 2008#secret soviet bases#don wildman
