casino#opening date#theme#hotel rooms#section of atlantic city
atlantic club#december 12 , 1980#beach resort#809#downbeach
bally 's ᴮ#december 29 , 1979#modern#1749#midtown
borgata#july 2 , 2003#tuscany#2767#marina
caesars#june 26 , 1979#roman empire#1141#midtown
golden nugget#june 19 , 1985#gold rush era#727#marina
harrah 's#november 27 , 1980#marina waterfront#2590#marina
resorts#may 28 , 1978#roaring twenties#942#uptown
revel#april 2 , 2012#oceanfront#1399#uptown
showboat#april 2 , 1987#mardi gras#1329#uptown
tropicana#november 26 , 1981#old havana#2078#downbeach
trump plaza ᴬ#may 26 , 1984#luxury resort#906#midtown
taj mahal#april 2 , 1990#taj mahal#2010#uptown
