res#record#opponent#method#event#round#location
loss#11 - 2#antonio silva#submission (rear naked choke)#elitexc : renegade#1#texas , united states
win#11 - 1#tim persey#tko (strikes)#k - 1 dynamite!! usa#2#california , united states
win#10 - 1#ashley rivers#submission (arm triangle choke)#iscf - summer heat 2006#1#georgia , united states
win#9 - 1#michael buchkovich#submission (guillotine choke)#ft 6 - full throttle 6#1#georgia , united states
win#8 - 1#jerome smith#submission (kimura)#xff 1 - xtreme freestyle fighting 1#1#georgia , united states
win#7 - 1#jerome smith#tko (corner stoppage)#iscf - summer heat#1#georgia , united states
loss#6 - 1#ben rothwell#tko#euphoria - road to the titles#1#new jersey , united states
win#6 - 0#wade shipp#tko (strikes)#ufc 47#1#nevada , united states
win#5 - 0#johnathan ivey#submission (neck crank)#iscf - trauma#1#georgia , united states
win#4 - 0#ivan carabello#submission (choke)#iscf - southeast championships#1#georgia , united states
win#3 - 0#john dixon#submission (strikes)#iscf - battle at the brewery#2#georgia , united states
win#2 - 0#dan severn#submission (rear naked choke)#rsf 1 - redemption in the valley#2#virginia , united states
win#1 - 0#jj wilson#submission (rear naked choke)#iscf - hot summer fights#1#georgia , united states
