driver#constructor#laps#time / retired#grid
mika häkkinen#mclaren - mercedes#65#1:33:55.390#2
david coulthard#mclaren - mercedes#65#+ 16.066#4
rubens barrichello#ferrari#65#+ 29.112#3
ralf schumacher#williams - bmw#65#+ 37.311#5
michael schumacher#ferrari#65#+ 47.983#1
heinz - harald frentzen#jordan - mugen - honda#65#+ 1:21.925#8
mika salo#sauber - petronas#64#+ 1 lap#12
ricardo zonta#bar - honda#64#+ 1 lap#16
giancarlo fisichella#benetton - playlife#64#+ 1 lap#13
alexander wurz#benetton - playlife#64#+ 1 lap#18
eddie irvine#jaguar - cosworth#64#+ 1 lap#9
jarno trulli#jordan - mugen - honda#64#+ 1 lap#7
johnny herbert#jaguar - cosworth#64#+ 1 lap#14
marc gené#minardi - fondmetal#63#+ 2 laps#20
gastón mazzacane#minardi - fondmetal#63#+ 2 laps#21
nick heidfeld#prost - peugeot#62#+ 3 laps#19
jenson button#williams - bmw#61#engine#10
jos verstappen#arrows - supertec#25#gearbox#11
jacques villeneuve#bar - honda#21#hydraulics#6
jean alesi#prost - peugeot#1#collision#17
pedro de la rosa#arrows - supertec#1#collision#22
pedro diniz#sauber - petronas#0#spun off#15
