name#serie a#champions league#coppa italia#total
alessandro del piero#13#6#2#21
amauri#12#2#0#14
vincenzo iaquinta#12#2#0#14
pavel nedvěd#7#0#0#7
giorgio chiellini#4#1#0#5
claudio marchisio#3#0#0#3
sebastian giovinco#2#0#1#3
zdeněk grygera#2#1#0#3
marco marchionni#1#0#2#3
olof mellberg#2#0#0#2
cristiano zanetti#2#0#0#2
mauro camoranesi#1#1#0#2
mohamed sissoko#2#0#0#2
nicola legrottaglie#1#1#0#2
hasan salihamidžić#1#0#0#1
david trézéguet#1#0#0#1
christian poulsen#1#0#0#1
own goals#2#0#0#2
totals#69#14#5#88
