club#played#won#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
club#played#won#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
newcastle emlyn rfc#22#19#0#3#461#279#50#28#7#3#86
llandeilo rfc#22#16#0#6#539#321#70#39#8#4#76
crymych rfc#22#16#0#6#469#338#59#40#6#3#73
gorseinon rfc#22#14#1#7#500#366#64#45#8#3#69
laugharne rfc#22#11#0#11#505#399#68#45#6#8#58
morriston rfc#22#10#0#12#459#429#61#50#6#6#52
haverfordwest rfc#22#9#0#13#472#517#62#68#7#5#48
lampeter town rfc#22#9#1#12#382#436#44#53#3#4#45
llanelli wanderers rfc#22#9#0#13#396#522#47#65#4#3#43
penclawdd rfc#22#8#0#14#302#395#29#45#2#8#42
cardigan rfc#22#7#2#13#368#386#44#45#4#6#42
llanybydder rfc#22#2#0#20#211#676#23#98#0#3#11
