phase#round#draw date#first leg#second leg
qualifying#first qualifying round#21 june 2010#29 - 30 june 2010#6 - 7 july 2010
qualifying#second qualifying round#21 june 2010#13 - 14 july 2010#20 - 21 july 2010
qualifying#third qualifying round#16 july 2010#27 - 28 july 2010#3 - 4 august 2010
play - off#play - off round#6 august 2010#17 - 18 august 2010#24 - 25 august 2010
group stage#matchday 1#26 august 2010 ( monaco )#14 - 15 september 2010#14 - 15 september 2010
group stage#matchday 2#26 august 2010 ( monaco )#28 - 29 september 2010#28 - 29 september 2010
group stage#matchday 3#26 august 2010 ( monaco )#19 - 20 october 2010#19 - 20 october 2010
group stage#matchday 4#26 august 2010 ( monaco )#2 - 3 november 2010#2 - 3 november 2010
group stage#matchday 5#26 august 2010 ( monaco )#23 - 24 november 2010#23 - 24 november 2010
group stage#matchday 6#26 august 2010 ( monaco )#7 - 8 december 2010#7 - 8 december 2010
knockout phase#round of 16#17 december 2010#15 - 16 & 22 - 23 february 2011#8 - 9 & 15 - 16 march 2011
knockout phase#quarter - finals#18 march 2011#5 - 6 april 2011#12 - 13 april 2011
knockout phase#semi - finals#18 march 2011#26 - 27 april 2011#3 - 4 may 2011
knockout phase#final#18 march 2011#28 may 2011 at wembley stadium , london#28 may 2011 at wembley stadium , london
