res#record#opponent#method#round#time#location
loss#20 - 15#kevin jordan#decision (unanimous)#3#5:00#salem , new hampshire , united states
win#20 - 14#brad imes#ko (punches)#1#0:28#kansas city , missouri , united states
win#19 - 14#aaron winterlee#submission (neck crank)#1#2:22#springfield , missouri , united states
loss#18 - 14#jeremiah constant#submission (punches)#1#0:42#tulsa , oklahoma , united states
win#18 - 13#aaron winterlee#submission (guillotine choke)#2#1:11#miami , oklahoma , united states
win#17 - 13#eric esch#submission (punches and elbows)#1#3:17#atlantic city , new jersey , united states
win#16 - 13#derrick ruffin#tko (punches)#2#1:02#missouri , united states
win#15 - 13#david tyner#tko (punches)#2#2:45#antlers , oklahoma , united states
win#14 - 13#scott arnold#tko (punches)#1#2:12#quebec , canada
loss#13 - 13#tom clemens#submission (kneebar)#2#1:35#boise , idaho , united states
win#13 - 12#brian stromberg#ko (punches)#1#4:00#boise , idaho , united states
win#12 - 12#vernon earwood#tko (knee and punches)#1#2:33#denver , colorado , united states
win#11 - 12#richard gomez#submission (guillotine choke)#1#0:47#corpus christi , texas , united states
win#10 - 12#allan sullivan#ko (punches)#1#3:35#colorado , united states
loss#9 - 12#marcus silveira#dq (knees on a grounded opponent)#1#0:50#deland , florida , united states
win#9 - 11#chuck gale#tko (elbows and punches)#1#7:31#littleton , colorado , united states
loss#8 - 11#maxim tarasov#submission (heel hook)#1#3:31#moscow , russia
loss#8 - 10#moti horenstein#ko (head kick)#1#0:26#littleton , colorado , united states
loss#8 - 9#matt asher#tko (punches)#1#0:11#littleton , colorado , united states
win#8 - 8#joe grant#submission (punches)#1#0:35#littleton , colorado , united states
win#7 - 8#david dodd#decision (unanimous)#1#16:00#west valley city , utah , united states
win#6 - 8#tony mendoza#tko (punches)#1#7:27#south dakota , united states
win#5 - 8#marco selva#submission (punches)#1#4:35#rio de janeiro , brazil
loss#4 - 8#marco ruas#submission (heel hook)#1#0:39#rio de janeiro , brazil
loss#4 - 7#fabio gurgel#submission (armbar)#1#0:50#rio de janeiro , brazil
loss#4 - 6#dave beneteau#submission (punches)#1#1:09#tokyo , japan
loss#4 - 5#kiyoshi tamura#submission (heel hook)#1#0:55#nagoya , japan
loss#4 - 4#kimo leopoldo#submission (punches)#1#2:59#sapporo , japan
win#4 - 3#rudyard moncayo#submission (rear naked choke)#1#1:08#casper , wyoming , united states
loss#3 - 3#kimo leopoldo#submission (punches)#1#3:00#nagoya , japan
loss#3 - 2#royce gracie#submission (punches)#1#1:17#denver , colorado , united states
win#3 - 1#johnny rhodes#submission (guillotine choke)#1#1:07#denver , colorado , united states
win#2 - 1#scott morris#tko (elbows)#1#0:30#denver , colorado , united states
win#1 - 1#ray wizard#submission (guillotine choke)#1#0:58#denver , colorado , united states
loss#0 - 1#ken shamrock#submission (heel hook)#1#1:49#denver , colorado , united states
