rank#athlete#nation#olympics#gold#silver#bronze#total (min 2 medals)
1#paavo nurmi#finland (fin)#1920 - 1928#2#0#0#2
1#emil zátopek#czechoslovakia (tch)#1948 - 1952#2#0#0#2
1#lasse viren#finland (fin)#1972 - 1976#2#0#0#2
1#haile gebrselassie#ethiopia (eth)#1996 - 2000#2#0#0#2
1#kenenisa bekele#ethiopia (eth)#2004 - 2008#2#0#0#2
6#ville ritola#finland (fin)#1924 - 1928#1#1#0#2
7#miruts yifter#ethiopia (eth)#1972 - 1980#1#0#1#2
8#alain mimoun#france (fra)#1948 - 1952#0#2#0#2
8#paul tergat#kenya (ken)#1996 - 2000#0#2#0#2
8#sileshi sihine#ethiopia (eth)#2004 - 2008#0#2#0#2
11#edvin wide#sweden (swe)#1924 - 1928#0#1#1#2
11#volmari iso - hollo#finland (fin)#1932 - 1936#0#1#1#2
