name#height#weight#spike#2008 club
evgeni ivanov#m#-#cm (in)#jastrzębski węgiel
hristo tsvetanov#m#-#cm (in)#budvanska rivijera budva
andrey zhekov#m#-#cm (in)#patron patra
boyan yordanov#m#-#cm (in)#olympiacos
krasimir gaydarski#m#-#cm (in)#olympiacos
matey kaziyski#m#-#cm (in)#trentino volley
vladimir nikolov#m#-#cm (in)#trentino volley
teodor salparov#m#-#cm (in)#cska sofia
kostadin stoykov#m#-#cm (in)#vc nova
todor aleksiev#m#-#cm (in)#levski siconco
plamen konstantinov#m#-#cm (in)#iraklis
ivan tassev#m#-#cm (in)#cska sofia
