date#opponent#venue#result#attendance
10 august 1985#rangers#a#0 - 1#28870
17 august 1985#aberdeen#h#1 - 1#14339
24 august 1985#dundee#h#2 - 0#13736
31 august 1985#motherwell#a#1 - 0#3327
7 september 1985#clydebank#h#2 - 1#5336
14 september 1985#hearts#a#0 - 2#7617
28 september 1985#st mirren#a#0 - 1#4408
5 october 1985#hibernian#h#2 - 2#6951
12 october 1985#rangers#h#1 - 1#16657
19 october 1985#aberdeen#a#2 - 3#15748
26 october 1985#celtic#a#3 - 0#25976
2 november 1985#hearts#h#1 - 1#10142
9 november 1985#motherwell#h#3 - 0#5493
16 november 1985#dundee#a#3 - 0#11736
23 november 1985#clydebank#a#2 - 1#1839
14 december 1985#rangers#a#1 - 1#16657
21 december 1985#aberdeen#h#2 - 1#9990
23 december 1985#celtic#h#1 - 0#15894
28 december 1985#dundee#h#0 - 0#14869
4 january 1986#celtic#h#4 - 2#16668
11 january 1986#hearts#a#1 - 1#19043
18 january 1986#clydebank#h#4 - 0#6214
1 february 1986#st mirren#a#1 - 1#4221
8 february 1986#hibernian#h#4 - 0#8504
22 february 1986#rangers#h#1 - 1#14644
26 february 1986#hibernian#a#1 - 0#7137
11 march 1986#motherwell#a#0 - 2#2823
15 march 1986#celtic#a#1 - 1#20965
22 march 1986#motherwell#h#4 - 0#5710
29 march 1986#dundee#a#1 - 0#15079
8 april 1986#st mirren#h#5 - 0#6347
12 april 1986#hearts#h#0 - 3#19878
16 april 1986#aberdeen#a#1 - 0#7278
19 april 1986#clydebank#a#1 - 1#1534
26 april 1986#st mirren#h#1 - 2#4986
3 may 1986#hibernian#a#2 - 1#3513
