date#visitor#score#home#record#attendance
september 27#philadelphia eagles#24 - 14#san francisco 49ers#1 - 0 - 0#41697
october 4#los angeles rams#34 - 0#san francisco 49ers#2 - 0 - 0#56028
october 11#san francisco 49ers#21 - 20#green bay packers#2 - 1 - 0#32150
october 18#san francisco 49ers#34 - 13#detroit lions#3 - 1 - 0#52585
october 25#chicago bears#20 - 17#san francisco 49ers#4 - 1 - 0#59045
november 1#detroit lions#33 - 7#san francisco 49ers#5 - 1 - 0#59064
november 8#san francisco 49ers#24 - 16#los angeles rams#6 - 1 - 0#94276
november 15#san francisco 49ers#14 - 3#chicago bears#6 - 2 - 0#42157
november 22#san francisco 49ers#45 - 14#baltimore colts#6 - 3 - 0#56007
november 29#san francisco 49ers#21 - 20#cleveland browns#7 - 3 - 0#53763
december 5#baltimore colts#34 - 14#san francisco 49ers#7 - 4 - 0#59075
december 13#green bay packers#36 - 14#san francisco 49ers#7 - 5 - 0#55997
