rank#airport#passengers#aircraft movements#carriers
1#shanghai , china#192701#1465#china eastern airlines , jin air
2#osaka , japan#131338#1157#jeju air , korean air
3#tokyo , japan#124296#734#korean air
4#beijing , china#97055#768#china eastern airlines , korean air
5#taipei , republic of china (taiwan)#73754#585#jin air , transasia airways
6#ningbo , china#44067#303#china eastern airlines , eastar jet
7#nagoya , japan#41460#416#korean air
8#harbin , china#31574#201#china southern airlines , jin air
9#changchun , china#29129#214#china southern airlines
10#fukuoka , japan#27592#306#asiana airlines
11#shenyang , china#26168#238#china southern airlines
12#dalian , china#25359#204#china southern airlines
13#hong kong#24940#208#dragonair
14#hangzhou , china#22191#165#china eastern airlines
15#macau#21278#178#eastar jet
16#nanning , china#17114#122#eastar jet
17#xi'an , china#15022#107#jin air
18#guangzhou , china#14983#95#korean air
19#hefei , china#14226#105#eastar jet
20#changsha , china#12947#105#eastar jet
