year#number#team#co - driver#position#laps
1994#18#dick johnson racing#allan grice#7th#160
1995#18#dick johnson racing#charlie o'brien#7th#158
1996#18#dick johnson racing#tommy kendall#8th#158
1997#18#dick johnson racing#craig baird#4th#158
1998#17#dick johnson racing#dick johnson#dnf#60
1999#17#dick johnson racing#dick johnson#4th#161
2000#17#dick johnson racing#cameron mclean#4th#161
2001#17#dick johnson racing#paul radisich#dnf#63
2002#17#dick johnson racing#paul radisich#dnf#29
2003#17#dick johnson racing#warren luff#13th#156
2004#17#dick johnson racing#warren luff#7th#161
2005#17#dick johnson racing#will davison#19th#133
2006#17#dick johnson racing#will davison#dnf#27
2007#17#dick johnson racing#will davison#3rd#161
2008#18#dick johnson racing#will davison#6th#161
2009#17#dick johnson racing#james courtney#24th#131
2010#17#dick johnson racing#marcus marshall#12th#161
2011#17#dick johnson racing#david besnard#dnf#112
