country#skip#w#l#pf#pa#ends won#ends lost#blank ends#stolen ends#shot %
sweden#anette norberg#9#2#67#53#40#41#12#8#73%
china#wang bingyu#8#3#64#43#44#30#14#16#82%
denmark#lene nielsen#7#4#77#55#47#33#15#14#78%
canada#amber holland#7#4#68#55#42#40#12#7#82%
switzerland#mirjam ott#7#4#68#58#46#37#15#15#82%
russia#anna sidorova#6#5#70#65#40#45#8#8#72%
united states#patti lank#6#5#64#63#48#36#10#17#72%
germany#andrea schöpp#5#6#61#67#40#49#12#13#78%
scotland#anna sloan#4#7#49#69#33#43#15#6#76%
norway#linn githmark#3#8#54#71#42#48#15#7#77%
czech republic#anna kubešková#2#9#40#73#35#43#11#7#71%
