player#games played#minutes#field goals#three pointers#free throws#rebounds#assists#blocks#steals#points
moore maya moore#39#1209#284#90#96#348#127#59#76#754
montgomery renee montgomery#39#1237#226#99#93#82#199#9#61#644
charles tina charles#39#982#259#0#124#348#41#62#35#642
greene kalana greene#39#990#141#6#50#181#68#11#37#338
doty caroline doty#17#406#52#30#13#57#33#4#16#147
hayes tiffany hayes#39#1002#109#46#63#156#102#15#44#327
mclaren kaili mclaren#38#581#61#0#37#130#73#22#19#159
williams tahirah williams#33#245#33#0#22#62#22#4#9#88
dixon lorin dixon#39#604#28#2#31#63#71#2#17#89
gardler meghan gardler#32#335#19#5#15#62#21#3#12#58
fernandes jacquie fernandes#30#141#8#3#4#17#2#0#3#23
