player#height#position#year born#current club
bartłomiej wołoszyn#1.97#forward#1986#anwil wloclawek
andrzej pluta#1.81#guard#1974#anwil wloclawek
robert skibniewski#1.82#guard#1983#bot turów
robert witka#2.06#forward#1981#bot turów
filip dylewicz#2.02#forward#1980#prokom trefl sopot
radosław hyży#2.00#forward#1977#śląsk wrocław
adam wójcik#2.08#forward#1970#upea capo d'orlando
kamil pietras#2.04#forward#1988#olimpija ljubljana
szymon szewczyk#2.09#center#1982#lokomotiv rostov
iwo kitzinger#1.88#guard#1985#bot turów
przemysław frasunkiewicz#2.01#forward#1979#energa czarni
łukasz koszarek#1.87#guard#1984#anwil wloclawek
