station#line (s)#city / neighborhood#year opened#transit connections#park and ride
university street u#central#downtown seattle#2009#metro , rapidride , st express , community transit#no
pioneer square u#central#pioneer square , seattle#2009#metro , rapidride , st express , community transit#no
stadium station#central#sodo , seattle#2009#metro , st express , community transit#no
sodo station#central#sodo , seattle#2009#metro , st express#no
beacon hill u#central#beacon hill , seattle#2009#metro#no
mount baker#central#mount baker , seattle#2009#metro#no
columbia city#central#columbia city , seattle#2009#metro#no
othello station#central#new holly , seattle#2009#metro#no
rainier beach#central#rainier beach , seattle#2009#metro#no
tukwila int™l blvd#central#tukwila#2009#metro , rapidride#yes
seatac / airport#central#sea - tac airport , seatac#2009#metro , rapidride , st express , sea - tac airport#no
south 25th#tacoma#tacoma#2003#pierce transit , st express#no
union station#tacoma#downtown tacoma#2003#pierce transit , st express#no
convention center / south 15th street#tacoma#downtown tacoma#2003#pierce transit , st express#no
commerce street / south 11th street#tacoma#downtown tacoma#2011#pierce transit , st express#no
