rank#city#state#gdp in id b#population m (luz)#gdp per capita id k#eurozone
1#paris#france# 731#11.5# 62.4#y
2#london#united kingdom# 565#11.9# 49.4#n
3#moscow#russia# 321#10.5# 30.6#n
4#madrid#spain# 230#5.80# 39.7#y
5#istanbul#turkey# 187#13.2# 14.2#n
6#barcelona#spain# 177#4.97# 35.6#y
7#rome#italy# 144#3.46# 41.6#y
8#milan#italy# 136#3.08# 44.2#y
9#vienna#austria# 122#2.18# 56.0#y
10#lisbon#portugal# 98#2.44# 40.2#y
11#athens#greece# 96#4.01# 23.9#y
12#berlin#germany# 95#4.97# 19.1#y
