driver#constructor#laps#time / retired#grid
emerson fittipaldi#mclaren - ford#32#1:24:37.06#1
clay regazzoni#ferrari#32#+ 13.57#8
jacky ickx#lotus - ford#31#+ 1 lap#5
carlos pace#surtees - ford#31#+ 1 lap#12
mike hailwood#mclaren - ford#31#+ 1 lap#7
ronnie peterson#lotus - ford#31#+ 1 lap#4
carlos reutemann#brabham - ford#31#+ 1 lap#2
patrick depailler#tyrrell - ford#31#+ 1 lap#16
james hunt#march - ford#31#+ 1 lap#18
jean - pierre beltoise#brm#31#+ 1 lap#17
graham hill#lola - ford#31#+ 1 lap#21
denny hulme#mclaren - ford#31#+ 1 lap#11
jody scheckter#tyrrell - ford#31#+ 1 lap#14
henri pescarolo#brm#30#+ 2 laps#22
richard robarts#brabham - ford#30#+ 2 laps#24
franã§ois migault#brm#30#+ 2 laps#23
jochen mass#surtees - ford#30#+ 2 laps#10
john watson#brabham - ford#27#clutch#15
hans joachim stuck#march - ford#24#transmission#13
jean - pierre jarier#shadow - ford#21#brakes#19
arturo merzario#iso marlboro - ford#20#throttle#9
peter revson#shadow - ford#10#overheating#6
howden ganley#march - ford#8#ignition#20
niki lauda#ferrari#2#engine#3
guy edwards#lola - ford#2#chassis#25
