township#county#pop (2010)#land ( sqmi )#water (sqmi)#latitude#longitude#geo id#ansi code
vale#burke#24#34.764#0.959#48.853051#- 102.603806#3801381020#01759332
valhalla#wells#20#35.453#0.530#47.792532#- 99.329347#3810381060#01759713
valley#barnes#536#32.648#0.036#46.956573#- 97.960032#3800381080#01759736
valley#dickey#30#35.334#0.000#46.240808#- 98.566351#3802181100#01036775
valley#kidder#25#34.667#1.334#46.756094#- 99.644635#3804381140#01037058
valley spring#stutsman#19#33.799#2.215#47.023360#- 99.143116#3809381260#01036491
van buren#renville#46#36.016#0.041#48.504235#- 101.384630#3807581300#01759621
van hook#mountrail#105#32.895#3.555#47.981040#- 102.318754#3806181420#01037116
van meter#dickey#77#36.080#0.000#45.980135#- 98.444062#3802181460#01036745
vang#ward#40#34.280#1.660#48.058654#- 101.609830#3810181380#01036951
vanville#burke#20#33.398#2.372#48.595587#- 102.418155#3801381500#01037091
velva#mchenry#182#35.025#0.100#48.072936#- 100.951186#3804981660#02397887
verner#sargent#42#35.381#0.394#46.145991#- 97.935000#3808181780#01036811
vernon#kidder#26#29.984#6.049#46.935385#- 99.742727#3804381820#01759478
vernon#walsh#88#36.075#0.000#48.325551#- 97.838317#3809981860#01036529
vesta#walsh#31#35.860#0.177#48.409812#- 97.981930#3809981980#01036540
victor#towner#25#34.825#0.778#48.579968#- 99.038848#3809582020#01759669
victoria#mclean#36#31.162#4.789#47.537282#- 101.258207#3805582060#01759545
view#williams#32#35.797#0.047#48.236279#- 103.159467#3810582100#01037025
viking#richland#67#36.123#0.000#46.499870#- 97.093063#3807782140#01036850
viking#traill#169#34.832#0.000#47.542492#- 97.410786#3809782180#01036708
villard#mchenry#15#35.747#0.262#48.145470#- 100.550546#3804982220#01759517
virginia#towner#15#34.971#0.729#48.754785#- 99.186072#3809582300#01759670
vivian#sargent#140#35.099#0.489#46.236434#- 97.830050#3808182340#01036809
voltaire#mchenry#32#35.051#0.384#47.971298#- 100.768335#3804982420#02397889
