name#pos#height#weight#date of birth#club
alexander tchigir#gk#m (ft 3in)#-#1968 - 11 - 06#spandau 04
michael zellmer#gk#m (ft 3in)#-#1977 - 08 - 14#waspo hannover
fabian schroedter#cb#m (ft 8in)#-#1982 - 09 - 11#spandau 04
patrick weissinger#cb#m (ft 4in)#-#1973 - 04 - 02#spandau 04
steffen dierolf#d#m (ft 4in)#-#1976 - 05 - 05#sv cannstatt
marc torsten politze#cf#m (ft 5in)#-#1977 - 10 - 20#spandau 04
tim wollthan#cb#m (ft 4in)#-#1980 - 04 - 29#sv bayer uerdingen 08
thomas schertwitis#cf#m (ft 6in)#-#1972 - 09 - 02#spandau 04
tobias kreuzmann#d#m (ft 5in)#-#1981 - 06 - 15#asc duisburg
heiko nossek#d#m (ft 1in)#-#1982 - 03 - 14#sv cannstatt
lukasz kieloch#d#m (ft 4in)#-#1976 - 03 - 15#sv cannstatt
soeren mackeben#d#m (ft 4in)#-#1979 - 01 - 29#spandau 04
jens pohlmann#d#m (ft 11in)#-#1978 - 10 - 30#spandau 04
