season#games#won#lost#tied#points#pct %#goals for#goals against#standing
1962 - 63#50#15#24#11#41#0.410#172#224#5th oha
1963 - 64#56#29#20#7#65#0.580#244#215#3rd oha
1964 - 65#56#19#28#9#41#0.420#236#253#7th oha
1965 - 66#48#15#26#7#37#0.385#182#231#8th oha
1966 - 67#48#19#20#9#47#0.490#175#155#5th oha
1967 - 68#54#21#30#3#45#0.417#200#211#6th oha
1968 - 69#54#31#11#12#74#0.685#296#206#2nd oha
1969 - 70#54#30#18#6#66#0.611#268#210#3rd oha
1970 - 71#62#40#17#5#85#0.685#343#236#2nd oha
1971 - 72#63#25#31#7#57#0.452#258#311#7th oha
1972 - 73#63#24#28#11#59#0.468#280#318#5th oha
1973 - 74#70#41#23#6#88#0.629#358#278#2nd oha
1974 - 75#70#30#33#7#67#0.479#284#300#6th oha
