team#location#venue#capacity#position in 2002
bate#borisov#city stadium , borisov#5500#1
neman#grodno#neman#6300#2
shakhtyor#soligorsk#stroitel#5000#3
torpedo - ska#minsk#torpedo , minsk#5200#4
torpedo#zhodino#torpedo , zhodino#3020#5
gomel#gomel#central#11800#6
dinamo minsk#minsk#dinamo , minsk#41040#7
belshina#bobruisk#spartak , bobruisk#3550#8
dnepr - transmash#mogilev#spartak , mogilev#11200#9
dinamo brest#brest#osk brestskiy#10080#10
slavia#mozyr#yunost#5500#11
zvezda - va - bgu#minsk#traktor#17600#12
molodechno - 2000#molodechno#city stadium , molodechno#5500#13
darida#minsk raion#darida#6000#first league , 1
naftan#novopolotsk#atlant#6500#first league , 2
lokomotiv#minsk#lokomotiv#800#first league , 3
