year#competition#venue#event#notes
2000#london marathon#london , united kingdom#marathon#2:37:56
2001#world half marathon championships#bristol , united kingdom#half marathon#1:04:23
2001#frankfurt marathon#frankfurt , germany#marathon#2:16:51
2002#london marathon#london , united kingdom#marathon#2:17:53
2003#berlin marathon#berlin , germany#marathon#2:18:00
2004#london marathon#london , united kingdom#marathon#2:13:53
2004#olympic games#athens , greece#marathon#2:17:53
2005#world championships#helsinki , finland#marathon#2:14:26
2006#commonwealth games#melbourne , australia#marathon#2:14:50
2006#european championships#gothenburg , sweden#marathon#2:16:06
2007#london marathon#london , united kingdom#marathon#2:14:14
2007#world championships#osaka , japan#marathon#2:20:30
2008#london marathon#london , united kingdom#marathon#2:13:10
2008#olympic games#beijing , china#marathon#2:16:14
