nbr class#type#introduced#driving wheel#total#extinct
141#2 - 4 - 0#1869#ft6in (mm)#2#1915
38#2 - 4 - 0#1869#ft0in (mm)#1#1912
418#2 - 4 - 0#1873#ft0in (mm)#8#1927
40#2 - 4 - 0#1873#ft0in (mm)#2#1903
224#4 - 4 - 0#1871#ft6in (mm)#2#1919
420#4 - 4 - 0#1873#ft6in (mm)#4#1918
251#0 - 6 - 0#1867#ft3in (mm)#38#1924
56#0 - 6 - 0#1868#ft0in (mm)#8#1914
17#0 - 6 - 0#1869#ft6in (mm)#1#1914
396#0 - 6 - 0#1867#ft0in (mm)#88#1937
293#0 - 6 - 0#1872#ft0in (mm)#1#1907
357#0 - 4 - 0#1868#ft3in (mm)#2#1925
226#0 - 6 - 0st#1870#ft0in (mm)#2#1924
229#0 - 6 - 0st#1871#ft0in (mm)#15#1924
112#0 - 6 - 0st#1870#ft6in (mm)#3#1910
282#0 - 6 - 0st#1866#ft1in (mm)#3#1921
130#0 - 6 - 0st#1870#ft3in (mm)#10#1924
32#0 - 6 - 0st#1874#ft6in (mm)#6#1907
18#0 - 4 - 0st#1872#ft0in (mm)#2#1906
