year#division#league#regular season#playoffs#open cup
1998#4#usisl pdsl#4th , central#division finals#1st round
1999#4#usl pdl#5th , heartland#did not qualify#did not qualify
2000#4#usl pdl#4th , rocky mountain#did not qualify#did not qualify
2001#4#usl pdl#5th , rocky mountain#did not qualify#did not qualify
2002#4#usl pdl#5th , heartland#did not qualify#did not qualify
2003#4#usl pdl#5th , heartland#did not qualify#did not qualify
2004#4#usl pdl#6th , heartland#did not qualify#did not qualify
2005#4#usl pdl#3rd , heartland#did not qualify#did not qualify
2006#4#usl pdl#3rd , heartland#did not qualify#did not qualify
2007#4#usl pdl#3rd , heartland#did not qualify#1st round
2008#4#usl pdl#5th , heartland#did not qualify#did not qualify
2009#4#usl pdl#6th , heartland#did not qualify#did not qualify
2010#4#usl pdl#7th , heartland#did not qualify#did not qualify
2011#4#usl pdl#4th , heartland#did not qualify#did not qualify
2012#4#usl pdl#5th , heartland#did not qualify#did not qualify
