place#player#country#score#to par
t1#billy ray brown#united states#69 + 71 + 69 = 209#- 7
t1#mike donald#united states#67 + 70 + 72 = 209#- 7
t3#mark brooks#united states#68 + 70 + 72 = 210#- 6
t3#larry nelson#united states#74 + 67 + 69 = 210#- 6
t3#tim simpson#united states#66 + 69 + 75 = 210#- 6
t3#jeff sluman#united states#66 + 70 + 74 = 210#- 6
t7#larry mize#united states#72 + 70 + 69 = 211#- 5
t7#josé maría olazábal#spain#73 + 69 + 69 = 211#- 5
t7#craig parry#australia#72 + 71 + 68 = 211#- 5
t7#mike reid#united states#70 + 73 + 68 = 211#- 5
t7#curtis strange#united states#73 + 70 + 68 = 211#- 5
t7#fuzzy zoeller#united states#73 + 70 + 68 = 211#- 5
