place#player#country#score#to par
1#payne stewart#united states#66#- 4
2#mark carnevale#united states#67#- 3
t3#joe durant#united states#68#- 2
t3#tom lehman#united states#68#- 2
t3#josé maría olazábal#spain#68#- 2
t3#bob tway#united states#68#- 2
t7#john daly#united states#69#- 1
t7#jeff maggert#united states#69#- 1
t7#jesper parnevik#sweden#69#- 1
t10#tom kite#united states#70#e
t10#matt kuchar (a)#united states#70#e
t10#colin montgomerie#scotland#70#e
t10#andrew magee#united states#70#e
t10#david ogrin#united states#70#e
t10#mark o'meara#united states#70#e
