date#visitor#score#home#leading scorer#record
1 march 2006#kings#97 - 90#cavaliers#three - way tie (19)#32 - 26
2 march 2006#cavaliers#92 - 91#bulls#lebron james (33)#33 - 26
5 march 2006#bulls#72 - 91#cavaliers#lebron james (37)#34 - 26
7 march 2006#raptors#99 - 106#cavaliers#ronald murray (24)#35 - 26
8 march 2006#cavaliers#98 - 97#raptors#lebron james (35)#36 - 26
10 march 2006#cavaliers#73 - 102#magic#lebron james (25)#36 - 27
12 march 2006#cavaliers#92 - 98#heat#lebron james (47)#36 - 28
14 march 2006#cavaliers#87 - 91#mavericks#lebron james (36)#36 - 29
17 march 2006#trail blazers#84 - 99#cavaliers#lebron james (27)#37 - 29
19 march 2006#lakers#95 - 96#cavaliers#lebron james (29)#38 - 29
22 march 2006#bobcats#118 - 120#cavaliers#lebron james (37)#39 - 29
24 march 2006#celtics#82 - 94#cavaliers#lebron james (36)#40 - 29
26 march 2006#cavaliers#104 - 102#rockets#lebron james (36)#41 - 29
29 march 2006#mavericks#94 - 107#cavaliers#lebron james (46)#42 - 29
