series#season#title#directed by :#written by :#original airdate
27#1#safe at first base#michael lembeck#earl pomerantz , rick hawkins#september 17 , 1990
28#2#welcome to hollister#michael lembeck#jim evering#september 24 , 1990
29#3#get a job#michael lembeck#barry gold#october 1 , 1990
30#4#the goat#michael lembeck#earl pomerantz#october 8 , 1990
31#5#first anniversary#michael lembeck#renee phillips , carrie hornigblum#october 15 , 1990
32#6#wetting down#michael lembeck#miriam trogdon#october 22 , 1990
33#7#infant - ry#michael lembeck#peter garcia , rick parks#october 29 , 1990
34#8#birthday ball#michael lembeck#rick hawkins#november 5 , 1990
35#9#wish you were here#michael lembeck#barry gold#november 12 , 1990
36#10#love on the run#michael lembeck#janet leahy#november 19 , 1990
37#11#operation fun run#michael lembeck#jim evering#november 26 , 1990
38#12#gift of the major#michael lembeck#rick hawkins#december 19 , 1990
39#13#flying solo#michael lembeck#leslie rieder#january 7 , 1991
40#14#a bird in the hand#michael lembeck#renee phillips , carrie hornigblum#january 14 , 1991
41#15#learning to drive#michael lembeck#lisa albert#january 21 , 1991
42#16#the name is over here#michael lembeck#rick hawkins#february 4 , 1991
43#17#valentine 's day#michael lembeck#jim evering#february 11 , 1991
44#18#sins of the father#michael lembeck#barry gold#february 18 , 1991
45#19#the possible dream#michael lembeck#mary basanese#february 25 , 1991
46#20#private affair#michael lembeck#renee phillips , carrie hornigblum#march 11 , 1991
47#21#polly 's choice#michael lembeck#miriam trogdon#march 18 , 1991
48#22#silent drill team#michael lembeck#barry gold#april 8 , 1991
49#23#elmo come home#michael lembeck#jim evering#april 29 , 1991
