tie no#home team#score#away team#attendance
1#colchester united#0 - 1#leyton orient#4600
2#havant & waterlooville#1 - 3#brentford#1631
3#blyth spartans#3 - 1#shrewsbury town#2742
4#sutton united#0 - 1#notts county#2041
5#torquay united#2 - 0#evesham united#2275
6#oxford united#0 - 0#dorchester town#3196
replay#dorchester town#1 - 3#oxford united#1474
7#bury#0 - 1#gillingham#2161
8#afc wimbledon#1 - 4#wycombe wanderers#4528
9#chester city#0 - 3#millwall#1932
10#carlisle united#1 - 1#grays athletic#3921
replay#grays athletic#0 - 2#carlisle united#1217
11#team bath#0 - 1#forest green rovers#906
12#eastbourne borough#0 - 0#barrow#1216
replay#barrow#4 - 0#eastbourne borough#2131
13#afc hornchurch#0 - 1#peterborough united#3000
14#yeovil town#1 - 1#stockport county#3582
replay#stockport county#5 - 0#yeovil town#3260
15#leiston#0 - 0#fleetwood town#1250
replay#fleetwood town#2 - 0#leiston#2010
16#accrington stanley#0 - 0#tranmere rovers#2126
replay#tranmere rovers#1 - 0#accrington stanley#2560
17#walsall#1 - 3#scunthorpe united#2318
18#afc bournemouth#1 - 0#bristol rovers#3935
19#brighton & hove albion#3 - 3#hartlepool united#2545
replay#hartlepool united#2 - 1#brighton & hove albion#3288
20#aldershot town#1 - 1#rotherham united#2632
replay#rotherham united#0 - 3#aldershot town#2431
