game#date#opponent#score#location / attendance#record
1#november 3#indiana pacers#l 106 - 111#the omni#0 - 1
game#date#opponent#score#location / attendance#record
2#november 4#orlando magic#w 124 - 91#the omni#1 - 1
3#november 6#utah jazz#l 96 - 105#delta center#1 - 2
4#november 8#los angeles clippers#w 100 - 92#los angeles memorial sports arena#2 - 2
5#november 9#golden state warriors#w 125 - 121#oakland coliseum arena#3 - 2
6#november 11#dallas mavericks#w 113 - 100#reunion arena#4 - 2
7#november 14#charlotte hornets#w 111 - 104#the omni#5 - 2
8#november 17#miami heat#l 88 - 91#the omni#5 - 3
9#november 19#sacramento kings#w 108 - 94#arco arena#6 - 3
10#november 21#denver nuggets#l 99 - 107#mcnichols sports arena#6 - 4
11#november 22#phoenix suns#l 112 - 117#america west arena#6 - 5
12#november 25#toronto raptors#w 114 - 102#the omni#7 - 5
13#november 28#new york knicks#w 102 - 97 (ot)#madison square garden#8 - 5
14#november 29#philadelphia 76ers#w 106 - 81#the omni#9 - 5
