week#date#opponent#result#game site#attendance
1#1997 - 08 - 31#seattle seahawks#w 41 - 3#kingdome#53893
2#1997 - 09 - 07#buffalo bills#l 28 - 22#the meadowlands#72988
3#1997 - 09 - 14#new england patriots#l 27 - 24 (ot)#foxboro stadium#60072
4#1997 - 09 - 21#oakland raiders#w 23 - 22#the meadowlands#72586
5#1997 - 09 - 28#cincinnati bengals#w 31 - 14#cinergy field#57209
6#1997 - 10 - 05#indianapolis colts#w 16 - 12#rca dome#48295
7#1997 - 10 - 12#miami dolphins#l 31 - 20#the meadowlands#75601
8#1997 - 10 - 19#new england patriots#w 24 - 19#the meadowlands#71061
10#1997 - 11 - 02#baltimore ravens#w 19 - 16 (ot)#the meadowlands#59524
11#1997 - 11 - 09#miami dolphins#l 24 - 17#pro player stadium#73809
12#1997 - 11 - 16#chicago bears#w 23 - 15#soldier field#45642
13#1997 - 11 - 23#minnesota vikings#w 23 - 21#the meadowlands#70131
14#1997 - 11 - 30#buffalo bills#l 20 - 10#rich stadium#47776
15#1997 - 12 - 07#indianapolis colts#l 22 - 14#the meadowlands#61168
16#1997 - 12 - 14#tampa bay buccaneers#w 31 - 0#the meadowlands#60122
17#1997 - 12 - 21#detroit lions#l 13 - 10#pontiac silverdome#77624
