game#date#team#score#high points#high rebounds#high assists#location attendance#record
57#march 1#atlanta#l 111 - 113 (ot)#chris bosh (27)#charlie villanueva (11)#chris bosh (5)#air canada centre 15137#20 - 37
58#march 4#new jersey#l 100 - 105 (ot)#morris peterson (25)#chris bosh , charlie villanueva (11)#mike james (7)#continental airlines arena 16215#20 - 38
59#march 5#boston#w 111 - 105 (ot)#morris peterson (27)#chris bosh (10)#mike james (6)#air canada centre 16623#21 - 38
60#march 7#cleveland#l 99 - 106 (ot)#mike james (31)#charlie villanueva (11)#mike james (8)#quicken loans arena 18077#21 - 39
61#march 8#cleveland#l 97 - 98 (ot)#morris peterson (31)#chris bosh (14)#mike james (7)#air canada centre 19800#21 - 40
62#march 10#denver#l 97 - 108 (ot)#mike james (26)#chris bosh (15)#josé calderón (5)#air canada centre 17806#21 - 41
63#march 12#indiana#w 93 - 89 (ot)#morris peterson (25)#chris bosh (8)#mike james (4)#air canada centre 17573#22 - 41
64#march 14#philadelphia#w 111 - 97 (ot)#chris bosh (31)#charlie villanueva (10)#darrick martin (12)#wachovia center 14917#23 - 41
65#march 15#detroit#l 98 - 105 (ot)#mike james (24)#chris bosh (11)#mike james (11)#air canada centre 19800#23 - 42
66#march 17#milwaukee#w 97 - 96 (ot)#chris bosh (27)#chris bosh (10)#mike james (6)#air canada centre 17273#24 - 42
67#march 21#new york#w 114 - 109 (ot)#mike james (37)#mike james , charlie villanueva (8)#mike james (5)#madison square garden 18131#25 - 42
68#march 22#boston#l 96 - 110 (ot)#mike james (31)#chris bosh (11)#chris bosh (8)#td banknorth garden 18624#25 - 43
69#march 24#minnesota#w 97 - 77 (ot)#morris peterson (21)#chris bosh (15)#mike james (5)#air canada centre 17493#26 - 43
70#march 26#milwaukee#l 116 - 125 (ot)#charlie villanueva (48)#charlie villanueva (9)#mike james (10)#bradley center 16317#26 - 44
71#march 29#miami#l 94 - 98 (ot)#morris peterson (28)#charlie villanueva (13)#mike james (12)#air canada centre 19973#26 - 45
72#march 31#phoenix#l 126 - 140 (ot)#morris peterson (38)#pape sow (15)#mike james (10)#air canada centre 19800#26 - 46
