res#record#opponent#method#event#round#time#location
win#14 - 5#guilherme faria de souza#submission (kimura)#premium fight championship 2#4#2:05#campinas , sao paulo , brazil
loss#13 - 5#ross pearson#decision (unanimous)#ufc 141#3#5:00#las vegas , nevada , united states
win#13 - 4#eddie yagin#decision (unanimous)#ufc 135#3#5:00#denver , colorado , united states
win#12 - 4#wesley murch#submission (rear naked choke)#recife fc 4#1#5:00#recife , brazil
win#11 - 4#mark miller#ko (punch)#recife fc 3#1#4:03#recife , brazil
win#10 - 4#john mahlow#submission (guillotine choke)#xfc 10: night of champions#1#4:02#florida , united states
win#9 - 4#pete grimes#decision (split)#shinefights 2#3#5:00#florida , united states
win#8 - 4#kamrin naville#decision (unanimous)#kotc - invincible#3#3:00#georgia , united states
win#7 - 4#kalvin hackney#decision (unanimous)#wild bill 's full throttle#3#5:00#georgia , united states
loss#6 - 4#torrance taylor#decision (unanimous)#afl - bulletproof#3#5:00#georgia , united states
win#6 - 3#steve sharp#submission (guillotine choke)#afl : erupption#3#4:26#kentucky , united states
loss#5 - 3#nate diaz#submission (guillotine choke)#ufc fight night 11#1#4:10#nevada , united states
win#5 - 2#david lee#submission (rear naked choke)#ufc 70#2#1:55#manchester , england
loss#4 - 2#kurt pellegrino#submission (rear naked choke)#ufc 64#1#2:04#nevada , united states
win#4 - 1#scott hope#tko (punches)#iscf - knuckle up 4#1#1:43#georgia , united states
win#3 - 1#dustin hazelett#tko (punches)#ft 3 - full throttle 3#1#4:27#georgia , united states
win#2 - 1#danny payne#submission (rear naked choke)#ft 2 - full throttle 2#1#0:50#georgia , united states
win#1 - 1#will bradford#submission (guillotine choke)#iscf - compound fracture 2#1#1:55#georgia , united states
loss#0 - 1#andrew chappelle#decision (unanimous)#iscf - fight party#3#3:00#georgia , united states
