stage#winner#general classification#points classification#mountains classification#trofeo fast team
1#mario cipollini#mario cipollini#mario cipollini#giuseppe guerini#mercatone uno - saeco
2#tony rominger#tony rominger#rolf sørensen#giuseppe guerini#lampre - panaria
3#mario cipollini#tony rominger#mario cipollini#mariano piccoli#lampre - panaria
4#tony rominger#tony rominger#mario cipollini#mariano piccoli#lampre - panaria
5#filippo casagrande#tony rominger#mario cipollini#mariano piccoli#brescialat
6#nicola minali#tony rominger#mario cipollini#mariano piccoli#brescialat
7#maurizio fondriest#tony rominger#mario cipollini#mariano piccoli#brescialat
8#laudelino cubino#tony rominger#mario cipollini#mariano piccoli#mg maglificio - technogym
9#rolf sørensen#tony rominger#mario cipollini#mariano piccoli#mg maglificio - technogym
10#tony rominger#tony rominger#tony rominger#mariano piccoli#gewiss - ballan
11#enrico zaina#tony rominger#tony rominger#mariano piccoli#gewiss - ballan
12#pascal richard#tony rominger#tony rominger#mariano piccoli#gewiss - ballan
13#oliverio rincón#tony rominger#tony rominger#mariano piccoli#gewiss - ballan
14#claudio chiappucci#tony rominger#tony rominger#mariano piccoli#gewiss - ballan
15#mariano piccoli#tony rominger#tony rominger#mariano piccoli#gewiss - ballan
16#giuseppe citterio#tony rominger#tony rominger#mariano piccoli#gewiss - ballan
17#tony rominger#tony rominger#tony rominger#mariano piccoli#gewiss - ballan
18#denis zanette#tony rominger#tony rominger#mariano piccoli#gewiss - ballan
19#pascal richard#tony rominger#tony rominger#mariano piccoli#gewiss - ballan
20#serguei outschakov#tony rominger#tony rominger#mariano piccoli#gewiss - ballan
21#evgeni berzin#tony rominger#tony rominger#mariano piccoli#gewiss - ballan
22#giovanni lombardi#tony rominger#tony rominger#mariano piccoli#gewiss - ballan
final#final#tony rominger#tony rominger#mariano piccoli#gewiss - ballan
