name#gp - gs#gain#loss#long#avg / g
derrick washington#14#1078#42#59#74.0
jeremy maclin#14#306#13#56#20.9
chase daniel#14#384#103#48#20.1
jimmy jackson#14#275#28#37#17.6
de'vion moore#13#251#20#55#17.8
blaine gabbert#5#37#15#30#4.4
shawn scott#3#23#1#8#7.3
tommy saunders#14#14#0#8#1.0
jerrell jackson#13#11#1#11#0.8
chase patton#8#19#10#11#1.1
danario alexander#12#6#0#3#0.5
tyrone reece#2#3#5#3#- 1.0
team#11#0#8#0#- 0.7
jared perry#14#0#8#0#- 0.6
total#14#2407#254#59#153.8
opponents#14#2219#471#93#124.9
