driver#constructor#laps#time / retired#grid
damon hill#jordan - mugen - honda#44#1:43:47.407#3
ralf schumacher#jordan - mugen - honda#44#+ 0.932#8
jean alesi#sauber - petronas#44#+ 7.240#10
heinz - harald frentzen#williams - mecachrome#44#+ 32.243#9
pedro diniz#arrows#44#+ 51.682#16
jarno trulli#prost - peugeot#42#+ 2 laps#13
david coulthard#mclaren - mercedes#39#+ 5 laps#2
shinji nakano#minardi - ford#39#+ 5 laps#21
giancarlo fisichella#benetton - playlife#26#collision#7
michael schumacher#ferrari#25#collision damage#4
eddie irvine#ferrari#25#spun off#5
esteban tuero#minardi - ford#17#gearbox#22
jacques villeneuve#williams - mecachrome#16#spun off#6
toranosuke takagi#tyrrell - ford#10#spun off#19
jos verstappen#stewart - ford#8#engine#17
mika hã¤kkinen#mclaren - mercedes#0#collision#1
alexander wurz#benetton - playlife#0#collision#11
johnny herbert#sauber - petronas#0#collision#12
rubens barrichello#stewart - ford#0#collision#15
olivier panis#prost - peugeot#0#collision#14
mika salo#arrows#0#collision#18
ricardo rosset#tyrrell - ford#0#collision#20
