team#location#venue#capacity#position in 1996
mpkc#mozyr#yunost , mozyr#5500#1
dinamo minsk#minsk#dinamo , minsk#41040#2
belshina#bobruisk#spartak , bobruisk#3550#3
dinamo - 93#minsk#dinamo , minsk#41040#4
lokomotiv - 96#vitebsk#central , vitebsk#8300#5
ataka#minsk#traktor#17600#6
naftan - devon#novopolotsk#atlant#6500#7
molodechno#molodechno#city stadium#5500#8
dnepr#mogilev#spartak , mogilev#11200#9
dinamo brest#brest#dinamo , brest#10080#10
shakhtyor#soligorsk#stroitel#5000#11
torpedo#minsk#torpedo , minsk#5200#12
neman#grodno#neman#6300#13
torpedo - kadino#mogilev#torpedo , mogilev#3500#14
transmash#mogilev#transmash#7000#first league , 1
kommunalnik#slonim#yunost , slonim#3000#first league , 2
