district#incumbent#party#first elected#results#candidates
new jersey 1#rob andrews#democratic#1990#re - elected#rob andrews (d) 74% ronald richards (r) 23%
new jersey 2#frank lobiondo#republican#1994#re - elected#frank lobiondo (r) 66% derek hunsberger (d) 31%
new jersey 3#jim saxton#republican#1984#re - elected#jim saxton (r) 62% steven polansky (d) 36%
new jersey 4#chris smith#republican#1980#re - elected#chris smith (r) 63% larry schneider (d) 35%
new jersey 5#marge roukema#republican#1980#re - elected#marge roukema (r) 64% mike schneider (d) 33%
new jersey 7#bob franks#republican#1992#re - elected#bob franks (r) 53% maryanne connelly (d) 45%
new jersey 8#bill pascrell#democratic#1996#re - elected#bill pascrell (d) 62% matthew kirnan (r) 36%
new jersey 9#steve rothman#democratic#1996#re - elected#steve rothman (d) 65% steve lonegan (r) 34%
new jersey 10#don payne#democratic#1988#re - elected#don payne (d) 84% william wnuck (r) 11%
new jersey 11#rodney frelinghuysen#republican#1994#re - elected#rodney frelinghuysen (r) 68% john scollo (d) 30%
new jersey 12#mike pappas#republican#1996#lost re - election democratic gain#rush d holt , jr (d) 51% mike pappas (r) 48%
