season#skip#third#second#lead
1982 - 83#anette norberg#carina nilsson#louise marmont#anna rindeskog
1984 - 85#anette norberg#anna rindeskog#sofie marmont#louise marmont
1985 - 86#anette norberg#sofie marmont#anna rindeskog#louise marmont
1986 - 87#anette norberg#carina westman#anna rindeskog#louise marmont
1987 - 88#anette norberg#anna rindeskog (began season as second)#sofie marmont (began season as third)#louise marmont
1988 ecc#elisabeth högström#anette norberg#monika jansson#marie henriksson
1989 wcc#anette norberg#anna rindeskog#sofie marmont#louise marmont
1989 - 90#anette norberg#anna rindeskog#sofie marmont#louise marmont
1990 - 91#anette norberg#cathrine norberg#anna rindeskog#helene granqvist
1991 - 92#anette norberg#anna rindeskog#cathrine norberg#helene granqvist
1994 - 95#anette norberg#cathrine norberg#helena klange#helene granqvist
1998 - 99#anette norberg#cathrine norberg#helena svensson#anna blom
2000 - 01#anette norberg#cathrine norberg#eva lund#helena lingham
2001 - 02#anette norberg#cathrine norberg#eva lund#maria hasselborg
2002 - 03#anette norberg#eva lund (began season as second)#cathrine norberg (began season as third)#helena lingham
2003 - 04#anette norberg#eva lund#cathrine norberg#anna bergström
2004 - 05#anette norberg#eva lund#cathrine lindahl#anna bergström
2005 - 06#anette norberg#eva lund#cathrine lindahl#anna svärd
2006 - 07#anette norberg#eva lund#cathrine lindahl#anna svärd
2007 - 08#anette norberg#eva lund#cathrine lindahl#anna svärd
2008 - 09#anette norberg#eva lund#cathrine lindahl#anna svärd margaretha sigfridsson
2009 - 10#anette norberg#eva lund#cathrine lindahl#anna le moine
2010 - 11#anette norberg#cecilia östlund#sara carlsson#liselotta lennartsson
