place#player#country#score#to par#money
1#tiger woods#united states#65 + 69 + 71 + 67 = 272#- 12#800000
t2#miguel ángel jiménez#spain#66 + 74 + 76 + 71 = 287#+ 3#391150
t2#ernie els#south africa#74 + 73 + 68 + 72 = 287#+ 3#391150
4#john huston#united states#67 + 75 + 76 + 70 = 288#+ 4#212779
t5#lee westwood#england#71 + 71 + 76 + 71 = 289#+ 5#162526
t5#pádraig harrington#ireland#73 + 71 + 72 + 73 = 289#+ 5#162526
7#nick faldo#england#69 + 74 + 76 + 71 = 290#+ 6#137203
t8#vijay singh#fiji#70 + 73 + 80 + 68 = 291#+ 7#112766
t8#stewart cink#united states#77 + 72 + 72 + 70 = 291#+ 7#112766
t8#david duval#united states#75 + 71 + 74 + 71 = 291#+ 7#112766
t8#loren roberts#united states#68 + 78 + 73 + 72 = 291#+ 7#112766
