game#date#opponent#result#raiders points#opponents#raiders first downs#record#attendance
1#sept 22#miami dolphins#win#31#21#17#1 - 0#78744
2#sept 28#baltimore colts#win#31#20#18#2 - 0#40657
3#oct 5#san diego chargers#win#6#0#17#3 - 0#31095
4#oct 12#kansas city chiefs#loss#10#42#23#3 - 1#60425
5#oct 19#cincinnati bengals#loss#10#14#18#3 - 2#48122
6#oct 26#san diego chargers#win#25#0#23#4 - 2#42796
7#nov 2#denver broncos#win#42#17#21#5 - 2#52505
8#nov 9#new orleans saints#win#48#10#34#6 - 2#51267
9#nov 16#cleveland browns#win#38#17#22#7 - 2#50461
10#nov 23#washington redskins#win#26#23#26#8 - 2#53582
11#nov 30#atlanta falcons#win#37#34#33#9 - 2#50860
12#dec 8#denver broncos#win#17#10#16#10 - 2#51075
13#dec 14#houston oilers#loss#26#27#23#10 - 3#50719
14#dec 21#kansas city chiefs#win#28#20#24#11 - 3#48604
