event#time#club#date#location
50 m freestyle#25.28#jövő sc#28 june 2009#eger , hungary
100 m freestyle#53.74#jövő sc#30 july 2009#rome , italy
200 m freestyle#1:56.47#jövő sc#28 july 2009#rome , italy
400 m freestyle#4:05.61#bvsc#28 july 2013#barcelona , spain
800 m freestyle#8:24.79#bvsc#30 july 2011#shanghai , china
1500 m freestyle#16:02.58#bvsc#29 july 2013#barcelona , spain
50 m backstroke#28.83#bajai svsc#16 june 2013#canet - en - roussillon , france
100 m backstroke#59.40#bajai svsc#29 july 2013#barcelona , spain
200 m backstroke#2:06.62#bp spartacus#25 august 1991#athens , greece
50 m breaststroke#31.34#bp spartacus#20 may 2000#monte carlo , monaco
100 m breaststroke#1:07.79#bp spartacus#17 september 2000#sydney , australia
200 m breaststroke#2:24.03#bp spartacus#20 september 2000#sydney , australia
50 m butterfly#26.68#kőbánya sc#31 july 2009#rome , italy
100 m butterfly#58.39#kőbánya sc#9 august 2008#beijing , china
200 m butterfly#2:04.27#bajai svsc#29 july 2009#rome , italy
200 m individual medley#2:07.46#bajai svsc#27 july 2009#rome , italy
400 m individual medley#4:30.31#bajai svsc#2 august 2009#rome , italy
4100 m freestyle relay#3:37.64#hungary#26 july 2009#rome , italy
4200 m freestyle relay#7:48.04#hungary#30 july 2009#rome , italy
4100 m medley relay#4:03.63#hungary#1 august 2009#rome , italy
