player#height#position#year born#current club
theodoros papaloukas#2.00#guard#1977#cska moscow
ioannis bourousis#2.13#center#1983#olympiacos
nikolaos zisis#1.95#guard#1983#cska moscow
vasileios spanoulis#1.92#guard#1982#panathinaikos
panagiotis vasilopoulos#2.01#forward#1984#olympiacos
michalis pelekanos#1.98#forward#1981#real madrid
nikolaos chatzivrettas#1.95#guard#1977#panathinaikos
dimosthenis dikoudis#2.06#forward#1977#panathinaikos
konstantinos tsartsaris#2.09#center#1979#panathinaikos
dimitris diamantidis#1.96#guard#1980#panathinaikos
lazaros papadopoulos#2.10#center#1980#real madrid
michail kakiouzis#2.07#forward#1976#cb sevilla
