date#episode#performer 1#performer 2#performer 3#performer 4
12 july 1996#1#stephen frost#greg proops#colin mochrie#ryan stiles
19 july 1996#2#greg proops#rory bremner#colin mochrie#ryan stiles
26 july 1996#3#josie lawrence#caroline quentin#colin mochrie#ryan stiles
2 august 1996#4#stephen frost#caroline quentin#colin mochrie#ryan stiles
9 august 1996#5#greg proops#niall ashdown#colin mochrie#ryan stiles
16 august 1996#6#greg proops#caroline quentin#colin mochrie#ryan stiles
23 august 1996#7#greg proops#ardal o'hanlon#colin mochrie#ryan stiles
30 august 1996#8#stephen frost#greg proops#colin mochrie#ryan stiles
6 september 1996#9#niall ashdown#stephen frost#colin mochrie#ryan stiles
13 september 1996#10#stephen frost#josie lawrence#colin mochrie#ryan stiles
20 september 1996#11#greg proops#rory bremner#colin mochrie#ryan stiles
27 september 1996#12#josie lawrence#caroline quentin#colin mochrie#ryan stiles
6 december 1996#13#compilation 1#compilation 1#compilation 1#compilation 1
13 december 1996#14#compilation 2#compilation 2#compilation 2#compilation 2
