player#country#year (s) won#total#to par#finish
ernie els#south africa#1994#281#+ 1#t5
lee janzen#united states#1993#283#+ 3#t10
tom watson#united states#1982#284#+ 4#t13
curtis strange#united states#1988 , 1989#287#+ 7#t27
jack nicklaus#united states#1962 , 1967 , 1972 , 1980#287#+ 7#t27
payne stewart#united states#1991#287#+ 7#t27
scott simpson#united states#1987#289#+ 9#t40
corey pavin#united states#1995#289#+ 9#t40
hale irwin#united states#1974 , 1979 , 1990#290#+ 10#t50
tom kite#united states#1992#294#+ 14#t82
