place#player#country#score#to par#money
1#ian woosnam#wales#72 + 66 + 67 + 72 = 277#- 11#243000
2#josé maría olazábal#spain#68 + 71 + 69 + 70 = 278#- 10#145800
t3#ben crenshaw#united states#70 + 73 + 68 + 68 = 279#- 9#64800
t3#steve pate#united states#72 + 73 + 69 + 65 = 279#- 9#64800
t3#lanny wadkins#united states#67 + 71 + 70 + 71 = 279#- 9#64800
t3#tom watson#united states#68 + 68 + 70 + 73 = 279#- 9#64800
t7#ian baker - finch#australia#71 + 70 + 69 + 70 = 280#- 8#42100
t7#andrew magee#united states#70 + 72 + 68 + 70 = 280#- 8#42100
t7#jodie mudd#united states#70 + 70 + 71 + 69 = 280#- 8#42100
t10#hale irwin#united states#70 + 70 + 75 + 66 = 281#- 7#35150
t10#tsuneyuki nakajima#japan#74 + 71 + 67 + 69 = 281#- 7#35150
