series#production code#title#directed by#written by#united states original airdate#canada original airdate
27#201#zipper the zoomit dog#jos humphrey#mark drop#june 2 , 2012#september 7 , 2012
28#202#the fraud princess#greg sullivan#rachel lipman#june 9 , 2012#september 14 , 2012
29#203#the super secret pup club#jos humphrey#bart jennett#june 16 , 2012#september 21 , 2012
30#204#barlow#greg sullivan#alan hanson#june 23 , 2012#september 28 , 2012
31#205#there 's something about camelia#jos humphrey#tony infante#june 30 , 2012#october 5 , 2012
32#206#good dog , mcleish!#greg sullivan#evan gore#july 7 , 2012#october 12 , 2012
33#208#the ruff ruff bunch#jos humphrey#rich fogel#july 14 , 2012#october 19 , 2012
34#209#salty#greg sullivan#merriwether williams#july 21 , 2012#october 26 , 2012
35#207#squawk#greg sullivan#chelsea meyer#july 28 , 2012#november 2 , 2012
36#212#the accidental pup star#jos humphrey#tony infante#august 25 , 2012#november 9 , 2012
37#210#no dogs allowed#jos humphrey#rich whitley#september 1 , 2012#november 16 , 2012
38#211#pound preemies#jos humphrey#eric trueheart#december 1 , 2012#september 18 , 2012
