name#country#status#moving to#transfer window#transfer fee
otsemobor#eng#transfer#norwich city#summer#free
jones#eng#transfer#preston north end#summer#500000
varney#eng#transfer#charlton athletic#summer#2500000
vaughan#wal#transfer#realsociedad#summer#300000
brown#eng#loan#kidsgrove athletic#winter#loan
farquharson#eng#loan#northwich victoria#winter#loan
lynch#eng#loan#stafford rangers#winter#loan
daniel#eng#loan#grays athletic#winter#loan
dugdale#eng#free#droylsden#winter#free
farquharson#eng#loan#nantwich town#winter#loan
tomlinson#eng#loan#burton albion#winter#loan
