federal state#number of members#% of total members#population (on the census also called censo 2010)#% of the population (censo 2010)#representativeness (inhabitants / mr)#representatives of national average#deputies required ignoring the limits
são paulo#70#13 , 6%#39 924 091#21 , 5%#570 344#110#40
minas gerais#53#10 , 3%#19 159 260#10 , 3%#361 495#53#0
rio de janeiro#46#9%#15 180 636#8 , 2%#330 014#42#- 4
bahia#39#7 , 6%#13 633 969#7 , 3%#349 589#38#- 1
rio grande do sul#31#6%#10 576 758#5 , 7%#341 186#29#- 2
paraná#30#5 , 8%#10 226 737#5 , 5%#340 891#28#- 2
pernambuco#25#4 , 9%#8 541 250#4 , 6%#341 650#24#- 1
ceará#22#4 , 3%#8 450 527#4 , 4%#371 822#23#1
maranhão#18#3 , 5%#6 424 340#3 , 5%#356 908#18#0
goiás#17#3 , 3%#5 849 105#3 , 1%#344 065#16#- 1
pará#17#3 , 3%#7 443 904#4%#437 877#21#4
santa catarina#16#3 , 1%#6 178 603#3 , 3%#386 163#17#1
paraíba#12#2 , 3%#3 753 633#2%#312 803#10#- 2
espírito santo#10#1 , 9%#3 392 775#1 , 8%#339 278#9#- 1
piauí#10#1 , 9%#3 086 448#1 , 7%#308 645#9#- 1
alagoas#9#1 , 7%#3 093 994#1 , 7%#343 777#9#0
acre#8#1 , 6%#707 125#0 , 4%#88 391#2#- 6
amazonas#8#1 , 6%#3 350 773#1 , 8%#418 847#9#1
amapá#8#1 , 6%#648 553#0 , 3%#81 069#2#- 6
distrito federal#8#1 , 6%#2 469 489#1 , 3%#308 686#7#- 1
mato grosso do sul#8#1 , 6%#2 404 256#1 , 3%#300 532#7#- 1
mato grosso#8#1 , 6%#2 954 625#1 , 6%#369 328#8#0
rio grande do norte#8#1 , 6%#3 121 451#1 , 7%#390 181#9#1
rondônia#8#1 , 6%#1 535 625#0 , 8%#191 953#4#- 4
roraima#8#1 , 6%#425 398#0 , 2%#53 175#1#- 7
sergipe#8#1 , 6%#2 036 227#1 , 1%#254 528#6#- 2
tocantins#8#1 , 6%#1 373 551#0 , 7%#171 694#4#- 4
total#513#100%#185 712 713#100%#362 013 (representative national average)#514 (population / representative national average)#1
