name#years#league#scottish cup#league cup#europe#total
willie miller#1972 - 1990#561#66#109#61#797
alex mcleish#1978 - 1994#494#69#74#56#693
bobby clark#1965 - 1980#427#50#95#23#595
stewart mckimmie#1983 - 1997#430#45#47#39#561
jim leighton#1978 - 1988 1998 - 2000#385#48#54#48#535
willie cooper#1928 - 1947#344#36#9#0#389
drew jarvie#1972 - 1982#275#28#66#17#386
brian irvine#1985 - 1997#308#30#26#20#384
eoin jess#1989 - 1995 1997 - 2001#311#23#34#11#379
russell anderson#1996 - 2006 2012 - present#315#26#21#4#366
