year#date#winner#result#loser#location
1950#november 26#new york giants#7 - 3#philadelphia eagles#polo grounds
1950#december 10#new york giants#9 - 7#philadelphia eagles#connie mack stadium
1951#october 21#new york giants#26 - 24#philadelphia eagles#polo grounds
1951#december 9#new york giants#23 - 7#philadelphia eagles#connie mack stadium
1952#october 4#new york giants#31 - 7#philadelphia eagles#connie mack stadium
1952#october 26#philadelphia eagles#14 - 10#new york giants#polo grounds
1953#november 8#philadelphia eagles#30 - 7#new york giants#connie mack stadium
1953#november 29#new york giants#37 - 28#philadelphia eagles#polo grounds
1954#november 14#new york giants#27 - 14#philadelphia eagles#polo grounds
1954#december 12#philadelphia eagles#29 - 14#new york giants#connie mack stadium
1955#september 24#philadelphia eagles#27 - 17#new york giants#connie mack stadium
1955#november 20#new york giants#31 - 7#philadelphia eagles#polo grounds
1956#october 28#new york giants#20 - 3#philadelphia eagles#yankee stadium
1956#december 15#philadelphia eagles#21 - 7#new york giants#connie mack stadium
1957#october 5#new york giants#24 - 20#philadelphia eagles#connie mack stadium
1957#november 17#new york giants#13 - 0#philadelphia eagles#yankee stadium
1958#october 5#philadelphia eagles#27 - 24#new york giants#franklin field
1958#november 30#new york giants#24 - 10#philadelphia eagles#yankee stadium
1959#october 4#philadelphia eagles#49 - 21#new york giants#franklin field
1959#october 18#new york giants#24 - 7#philadelphia eagles#yankee stadium
