place#player#country#score#to par#money
t1#paul azinger#united states#69 + 66 + 69 + 68 = 272#- 12#playoff
t1#greg norman#australia#68 + 68 + 67 + 69 = 272#- 12#playoff
3#nick faldo#england#68 + 68 + 69 + 68 = 273#- 11#105000
4#vijay singh#fiji#68 + 63 + 73 + 70 = 274#- 10#90000
5#tom watson#united states#69 + 65 + 70 + 72 = 276#- 8#75000
t6#john cook#united states#72 + 66 + 68 + 71 = 277#- 7#47813
t6#bob estes#united states#69 + 66 + 69 + 73 = 277#- 7#47813
t6#dudley hart#united states#66 + 68 + 71 + 72 = 277#- 7#47813
t6#nolan henke#united states#72 + 70 + 67 + 68 = 277#- 7#47813
t6#scott hoch#united states#74 + 68 + 68 + 67 = 277#- 7#47813
t6#hale irwin#united states#68 + 69 + 67 + 73 = 277#- 7#47813
t6#phil mickelson#united states#67 + 71 + 69 + 70 = 277#- 7#47813
t6#scott simpson#united states#64 + 70 + 71 + 72 = 277#- 7#47813
