rank#player#county#tally#total#opposition
1#joe connolly#galway#2 - 7#13#limerick
2#joe mckenna#limerick#3 - 3#12#clare
2#john grogan#tipperary#2 - 6#12#limerick
4#bernie forde#galway#2 - 5#11#antrim
5#joe mckenna#limerick#3 - 1#10#tipperary
6#billy bohane#laois#2 - 3#9#offaly
6#pádraig horan#offaly#2 - 3#9#wexford
6#séamus bourke#tipperary#2 - 3#9#limerick
6#noel lane#galway#1 - 6#9#antrim
6#martin brophy#laois#0 - 9#9#westmeath
11#pádraig horan#offaly#2 - 2#8#laois
11#éamonn cregan#limerick#1 - 5#8#offaly
11#mark corrigan#offaly#1 - 5#8#laois
11#tony doran#wexford#1 - 5#8#dublin
11#billy fitzpatrick#kilkenny#0 - 8#8#wexford
11#joe connolly#galway#0 - 8#8#offaly
17#dinny donnelly#antrim#1 - 4#7#galway
